,,time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session,LOF_Label,LOF_Score,PC1,PC2
subj3,150,24.0,0.03209250909975,0.03057105337237,-0.0109926076810199,-0.134766894687992,0.2588681652564,-0.205073088392588,0.77505825806717,8.54849830609,4.8140251831,0.4964815662910448,0.2348381684114427,-0.430232135540796,-0.7134734016616915,120.45252665920398,58.72153379467662,-5.378082601709453,-113.11406679950248,1000.374374,2,Squat,2,1,-1.019731892686036,3.0112298276202694,-2.4205403467719484
subj3,151,26.0,0.06911951998094,0.0893727235933399,-0.10394706014577,0.0265718496334899,-0.27914305227315,-0.27932115842862,2.4450985597077226,6.988183838623762,5.718516699138614,0.5237987882437811,0.1296717478786069,-0.416629388879602,-0.7282776612756219,116.79358421343284,50.35521632333333,-14.398054638495474,-115.12984701343284,1000.364914,2,Squat,2,1,-0.9821837572124211,2.6824012561727133,2.4595830263837413
subj3,152,28.0,-0.122857836795687,-0.11942032982116,0.09015551147155,-0.05774881904353,0.3943806156952,0.0549668852239999,0.8114430953799,8.25505302895,5.67799704436,0.4873852199935,0.20850188554145,-0.4060074376965,-0.7408423124385,121.650418573,54.38444565895,-5.0922094423664,-115.623640876,1000.3632355,2,Squat,2,1,-0.9948044856672762,2.393096502223146,-2.163549699842724
subj3,153,30.0,0.12009167851947,0.09755944957417,-0.03894373449183,0.0310179901910209,0.41518827753295,0.0707890473443599,1.4871754028691,8.14626974478,5.78075386045,0.5015498649462687,0.1831062263360199,-0.4135367527333333,-0.7339384338049751,119.78765822537314,53.50509099293532,-8.546247753358209,-115.32472182636816,1000.363617,2,Squat,2,1,-1.0050769669367474,2.641763639366112,-1.0144556703435554
subj3,154,32.0,-0.0598824794311423,-0.01334332985094,0.0358174108886399,-0.04175754632893,-0.49693172087567,-0.38669273453854,2.328513277257426,7.00167805429703,5.371971007970298,0.5426114255045,0.1536110274115,-0.424664038194,-0.7065528236605,114.251546232,52.38029695355,-14.12369691976,-111.8078828495,1000.3719715,2,Squat,2,1,-1.049944062571396,2.9443601362595437,2.232912436834905
subj3,155,34.0,-0.023029496617876,-0.038069670692389,0.05073193291062,-0.075850125297453,0.3930120631511999,-0.0186489283528,1.127370121765,8.64263454874,5.10162511594,0.5294471786870647,0.2370890163179104,-0.4254047511880597,-0.6930835327920398,116.05926513532336,58.12692054263681,-7.053538148587065,-109.05518466567165,1000.3834535,2,Squat,2,1,-0.9587862311846909,3.209476600877844,-2.498550031106782
subj3,156,36.0,0.0658858925014,0.0521911452861,-0.07142730045167,0.0817903613740699,0.2855879878104,0.0802514414679,2.186485180621,8.06023914642,5.56277564848,0.5309789830199005,0.1740942905730846,-0.4321173619542288,-0.7049148241865671,115.84071907910447,54.71094953865672,-12.411465788303484,-112.2260875278607,1000.391159,2,Squat,2,1,-1.0470704978182273,3.217378793615637,-0.22240000618970718
subj3,157,38.0,-0.0840779551887541,-0.06469024283326,0.072569360592618,-0.05188827794358,-0.16710648856723,-0.226249040043132,2.3202878079465346,7.274594679752475,5.6334712747821785,0.5456555687529999,0.152319506884,-0.419213064789,-0.707626085703,113.850120311,51.71251485915,-14.049900265195,-111.4332998545,1000.392838,2,Squat,2,1,-0.9782760935632332,2.8107128958812635,1.3094629642776972
subj3,158,40.0,0.00954599387899,0.0187336098631,-0.045277182549691,-0.063708610767963,0.1816979638198,-0.11842755870309,1.142303068573,8.3902878067,5.00924172821,0.5169664328746268,0.2275169969592039,-0.4290496600716417,-0.7028172086726369,117.72269027661692,57.91367489597015,-7.145770429716418,-111.11895367313431,1000.39341,2,Squat,2,1,-1.0359705790205307,3.167842711441761,-1.6140724490448044
subj3,159,42.0,0.132741020883391,0.07687980188891,-0.06408309719425,-0.02087386040592,-0.23399735506816,-0.213734495809155,2.0877445129274,7.223200776720001,5.65075968474,0.5422882520910001,0.1638186409768,-0.4116034825305,-0.7100664781099999,114.304334956,51.713218930450005,-12.472631710205,-111.0090377495,1000.395432,2,Squat,2,1,-0.9946308110210633,2.7412263151214558,1.5539128043127717
subj3,160,44.0,-0.1691963992873,-0.08340543244718,0.1025667519654615,-0.03349933581994,0.36282887046234,-0.01986266705052,1.4033871414147,8.38256087519,5.17336343541,0.5395225340333333,0.2244407705656716,-0.4220442399477612,-0.6876224848766169,114.64325219054729,56.892882440298514,-8.522281389333333,-107.9556072835821,1000.3966145,2,Squat,2,1,-0.9700555297636345,3.2819739795268235,-1.7990424411414572
subj3,161,46.0,-0.1946288650617,-0.03786325169134005,0.07070945273584076,-0.0327590410416915,0.02235016615864105,-0.15429344834454,1.8467486664003498,7.362034819935,5.777180042305,0.5661886566421666,0.1836768551137358,-0.39472452675363057,-0.6929300409058085,110.95107681452365,50.915926956499256,-11.126443493301666,-106.44232516679105,1000.40220275,2,Squat,2,-1,-1.3398584907471531,3.4428227301563616,-2.102970239844118
subj3,162,48.0,-0.2200613308361,0.0076789290644999,0.03885215350622,-0.032018746263443,-0.318128538145058,-0.28872422963856,2.290110191386,6.34150876468,6.3809966492,0.5928547792509999,0.1429129396618,-0.3674048135595,-0.698237596935,107.2589014385,44.9389714727,-13.73060559727,-104.92904305,1000.407791,2,Squat,2,1,-1.0584504601661546,2.201391865681248,3.2440472050329987
subj3,163,0.0,0.049484171312297,0.0651034221655742,0.0213868410278415,0.1349209754728416,-0.1435517378909307,-0.3525144246763366,0.0223717944536633,7.127182413227724,6.208919179178217,0.4512892262417911,0.206232333943781,-0.3490449890865671,-0.7918915181885572,126.24771808557212,47.92949880442786,0.5982626958356766,-120.33950310895524,1000.2775955,2,Squat,3,1,-1.1414799717453425,1.6478552013188765,1.0474978127653434
subj3,164,2.0,-0.043155122523084,-0.1123142330370279,0.06367465406942,-0.04317663331851,0.3878102456043,0.10233665856344,-0.1494102996862999,8.04008954781,6.1641066742,0.511172549314,0.252126286276,-0.354234701182,-0.739966272546,118.4974727795,51.59590683615,0.6308894433544,-110.3153537605,1000.2774813333334,2,Squat,3,1,-1.178531089997103,1.8472870687951475,-2.5211590078166934
subj3,165,4.0,0.03464428561218,-0.0182843996073609,-0.01682849833933,-0.001450882406493,0.3973164266223,-0.1186712618618,0.7922559951865399,8.4896496827,5.27064613495,0.5163320186930348,0.2382368040368159,-0.4072697252323383,-0.7128331884114428,117.81468441940298,56.27312618512438,-4.68020148100995,-110.53755010099503,1000.274544,2,Squat,3,1,-0.9902312036367459,2.9997746926484865,-2.045353293778902
