"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.794989292E0,2.359322280E0,1.459173251E0,9.409596705E0
2.814888292E0,2.372075642E0,1.494723153E0,9.400806586E0
2.834788292E0,2.383486337E0,1.543615669E0,9.390013211E0
2.854688292E0,2.371099011E0,1.590344570E0,9.385350056E0
2.874588292E0,2.355948290E0,1.634675967E0,9.381548197E0
2.894487292E0,2.364949494E0,1.676315305E0,9.371930696E0
2.914387292E0,2.384920805E0,1.720966106E0,9.358767444E0
2.934287292E0,2.386693096E0,1.778934086E0,9.347469454E0
2.954187292E0,2.360332532E0,1.848249319E0,9.340712412E0
2.974086292E0,2.337757017E0,1.927223129E0,9.330423651E0
2.993986292E0,2.332332702E0,2.017029638E0,9.312782602E0
3.013885750E0,2.314173881E0,2.090294665E0,9.301148981E0
3.033785750E0,2.235662732E0,2.131684766E0,9.310952423E0
3.053685750E0,2.093107614E0,2.155489511E0,9.338568823E0
3.073584750E0,1.922971619E0,2.181190217E0,9.369135143E0
3.093484750E0,1.755608812E0,2.217687806E0,9.393391147E0
3.113384750E0,1.624674743E0,2.250409994E0,9.409154656E0
3.133284750E0,1.540973167E0,2.261718363E0,9.420516381E0
3.153183750E0,1.477220828E0,2.258870185E0,9.431406235E0
3.173083750E0,1.405533379E0,2.248672933E0,9.444789342E0
3.192983750E0,1.305598617E0,2.222033895E0,9.465414811E0
3.212883750E0,1.200719522E0,2.190728195E0,9.486574130E0
3.232782750E0,1.125122113E0,2.161300328E0,9.502577375E0
3.252682750E0,1.062357662E0,2.126352397E0,9.517674301E0
3.272582750E0,9.865904644E-1,2.077555775E0,9.536587704E0
3.292482750E0,9.049679386E-1,2.021801258E0,9.556644239E0
3.312381750E0,8.190765068E-1,1.961719801E0,9.576892562E0
3.332281750E0,7.163456786E-1,1.901751342E0,9.597202281E0
3.352181750E0,6.270757256E-1,1.849525620E0,9.613642897E0
3.372081750E0,5.858819086E-1,1.803300749E0,9.625016901E0
3.391980750E0,5.572036182E-1,1.752652752E0,9.636069308E0
3.411880750E0,4.816535355E-1,1.688419334E0,9.651598343E0
3.431780750E0,3.639777723E-1,1.632750917E0,9.666319878E0
3.451680750E0,2.338114246E-1,1.585516671E0,9.678200836E0
3.471580750E0,9.973676138E-2,1.549457623E0,9.686347761E0
3.491479750E0,-3.474005779E-2,1.522080228E0,9.691138385E0
3.511379750E0,-1.578358655E-1,1.513908744E0,9.691195103E0
3.531279750E0,-2.300176597E-1,1.527002268E0,9.687696129E0
3.551179750E0,-2.660345530E-1,1.536434412E0,9.685282398E0
3.571078750E0,-3.289753527E-1,1.551944443E0,9.680875352E0
3.590978750E0,-3.870786595E-1,1.592604519E0,9.672118562E0
3.610878750E0,-3.890968260E-1,1.615879507E0,9.668176369E0
3.630778750E0,-4.259084838E-1,1.608717399E0,9.667819104E0
3.650677750E0,-4.924742100E-1,1.603374506E0,9.665545122E0
3.670577750E0,-4.958991801E-1,1.631741395E0,9.660621182E0
3.690477750E0,-4.502372132E-1,1.667271417E0,9.656790086E0
3.710377750E0,-4.452514021E-1,1.690040767E0,9.653062486E0
3.730276750E0,-4.483392436E-1,1.716058830E0,9.648327996E0
3.750176750E0,-4.326647222E-1,1.717209123E0,9.648839042E0
3.770076750E0,-4.500420259E-1,1.702432917E0,9.650662204E0
3.789976750E0,-4.368728537E-1,1.701456724E0,9.651439884E0
3.809875750E0,-3.836674670E-1,1.679193743E0,9.657598756E0
3.829775750E0,-3.883022990E-1,1.620785029E0,9.667387580E0
3.849675750E0,-4.562898123E-1,1.535737277E0,9.678295560E0
3.869575750E0,-5.171084930E-1,1.443774024E0,9.689386559E0
3.889474750E0,-5.661090738E-1,1.359035590E0,9.698898810E0
3.909374750E0,-6.185994557E-1,1.283955002E0,9.705920731E0
3.929274750E0,-6.189602289E-1,1.231874437E0,9.712645029E0
3.949174750E0,-5.501772019E-1,1.188817953E0,9.722145585E0
3.969073750E0,-5.046064516E-1,1.136034698E0,9.730924594E0
3.988973750E0,-5.192609628E-1,1.090607899E0,9.735350352E0
4.008874500E0,-5.558738517E-1,1.053978382E0,9.737362964E0
4.028774500E0,-6.099454669E-1,1.024433644E0,9.737278764E0
4.048674500E0,-6.790701174E-1,1.012342918E0,9.733967485E0
4.068573500E0,-7.247995830E-1,1.017467564E0,9.730134636E0
4.088473500E0,-7.063527871E-1,1.029695919E0,9.730205387E0
4.108373500E0,-6.427468483E-1,1.044467740E0,9.733039532E0
4.128273500E0,-5.897598917E-1,1.071768024E0,9.733426618E0
4.148172500E0,-5.726841582E-1,1.114370618E0,9.729661596E0
4.168072500E0,-6.068465156E-1,1.145343539E0,9.723992136E0
4.187972500E0,-6.691997981E-1,1.161036808E0,9.718037916E0
